target_gene,which_CS,carbon_source_uptake,growth_rate,acetate_secretion,pts,zwf,gnd,pgi,"edd, eda","pfk, fba",tktA,tktB,tal,"gap, pgk",eno,pyk,pdh,"glta, can",icd,suc,"sdh, fum",mdh,mae,pck,pcc,"pta, acka","acea, aceb"
YfhA,gal,2.33,0.20,0.02,2.33,0.59,0.44,1.73,0.16,1.92,0.15,0.06,0.15,04.03,3.74,3.76,3.44,1.95,0.92,0.62,1.65,2.48,0.20,0.67,0.47,0.02,01.03
ElbB,gal,1.56,0.18,0.04,1.66,0.51,0.33,1.15,0.17,1.29,0.11,0.04,0.11,2.76,2.51,2.68,2.33,01.08,0.23,0.00,0.84,1.67,0.02,0.65,0.32,0.04,0.84
FecI,gal,2.17,0.18,0.08,02.02,0.51,0.39,1.50,0.12,1.66,0.13,0.05,0.13,3.46,3.17,3.19,2.67,1.22,0.31,0.00,0.91,1.76,0.06,0.70,0.50,0.08,0.91
FlgM,gal,2.40,0.17,0.02,02.01,0.50,0.29,1.51,0.22,1.61,0.09,0.02,0.09,3.42,3.16,3.48,3.21,1.58,0.38,0.11,1.31,2.36,0.15,0.83,0.35,0.03,1.20
FliA,gal,1.82,0.19,0.03,1.93,0.47,0.31,1.45,0.17,1.55,0.10,0.02,0.10,3.26,2.98,03.07,2.63,1.22,0.30,0.00,0.93,1.81,0.05,0.75,0.48,0.03,0.93
RpoD,gal,1.91,0.17,0.05,1.95,0.45,0.45,1.49,0.00,1.69,0.15,0.07,0.15,3.44,3.18,3.39,2.82,1.37,0.38,0.11,1.10,02.05,0.04,0.76,0.38,0.05,1.00
RpoN,gal,1.78,0.18,0.04,1.88,0.49,0.36,1.38,0.13,1.52,0.12,0.04,0.12,3.19,2.92,2.92,2.57,1.19,0.28,0.00,0.91,1.67,0.15,0.65,0.48,0.04,0.91
RpoS,gal,1.35,0.16,0.04,1.40,0.41,0.34,0.98,0.08,1.13,0.11,0.05,0.11,2.37,2.16,2.23,1.96,0.91,0.20,0.01,0.72,1.34,0.09,0.50,0.29,0.04,0.71
Rsd,gal,1.82,0.17,0.03,1.89,0.52,0.44,1.37,0.08,1.57,0.15,0.07,0.15,3.27,03.01,03.08,2.56,1.28,0.44,0.16,01.01,1.83,0.02,0.78,0.53,0.03,0.85
RseA,gal,1.77,0.18,0.10,1.94,0.51,0.36,1.43,0.15,1.58,0.12,0.05,0.12,3.33,03.08,3.45,3.11,1.53,0.43,0.18,1.29,2.32,0.09,0.74,0.22,0.09,1.11
RseB,gal,2.20,0.17,0.02,1.90,0.53,0.38,1.35,0.16,1.51,0.13,0.05,0.13,3.20,2.93,03.07,2.60,1.22,0.29,0.00,0.93,1.84,0.02,0.73,0.42,0.02,0.93
Pgi,gal,1.61,0.15,0.06,1.65,1.57,1.42,0.08,0.16,0.94,0.47,0.40,0.47,2.41,2.19,2.13,1.77,0.87,0.32,0.10,0.65,1.19,0.01,0.38,0.30,0.00,0.55
Zwf,gal,02.04,0.17,0.06,2.29,0.17,0.13,2.26,0.04,2.13,0.03,0.00,0.03,4.28,04.01,3.55,3.26,2.27,1.75,1.49,02.02,2.27,0.27,0.42,0.71,0.05,0.53
SdhC,gal,1.57,0.15,2.50,2.15,0.61,0.38,1.53,0.24,1.71,0.13,0.06,0.13,3.69,3.48,2.87,2.73,0.28,0.23,0.02,0.07,0.04,0.08,0.03,0.51,02.08,0.05
WT,glu,8.16,0.60,4.95,8.12,2.38,1.58,5.71,0.80,6.41,0.50,0.25,0.50,13.81,12.88,9.98,9.14,2.16,2.16,1.25,1.25,0.82,0.42,0.23,2.59,5.53,0.00
AlsR,glu,8.11,0.54,3.92,7.14,1.93,1.55,5.19,0.39,5.90,0.50,0.26,0.50,12.38,11.53,8.78,7.70,2.33,2.33,1.48,1.48,01.02,0.46,0.36,2.61,04.04,0.00
AppY,glu,7.74,0.55,4.76,7.41,2.45,1.43,4.94,01.02,5.58,0.46,0.22,0.46,12.33,11.48,8.75,8.32,1.91,1.91,01.07,01.07,0.61,0.46,0.18,2.41,05.09,0.00
ArcA,glu,7.30,0.56,3.19,7.14,1.79,1.27,5.31,0.53,5.83,0.40,0.16,0.40,12.29,11.42,8.72,7.64,2.72,2.72,1.86,1.86,1.51,0.35,0.24,2.42,3.55,0.00
ArcB,glu,7.36,0.56,4.39,7.30,1.94,1.60,5.33,0.34,06.08,0.51,0.28,0.51,12.71,11.85,9.51,8.00,2.30,2.30,1.46,1.46,1.40,0.06,0.51,2.34,4.37,0.00
