target_gene,glucose_uptake,growth_rate,acetate_secretion,pts,zwf,gnd,pgi,edd_eda,pfk_fba,tktA,tktB,tal,gap_pgk,eno,pyk,pdh,glta_can,icd,suc,sdh_fum,mdh,mae,pck,pcc,pta_acka,acea_aceb
Cra,08.06,0.54,5.12,7.47,2.14,1.40,5.30,0.74,5.92,0.45,0.21,0.45,12.71,11.86,9.11,8.39,1.64,1.64,0.80,0.80,0.34,0.46,0.23,2.48,5.41,0.00
CreB,7.37,0.54,4.33,7.22,02.03,1.47,5.16,0.56,5.83,0.47,0.24,0.47,12.40,11.56,8.89,7.99,1.96,1.96,1.13,1.13,0.70,0.42,0.20,2.37,4.72,0.00
Crl,6.33,0.46,04.03,6.28,2.11,1.27,4.15,0.85,4.73,0.41,0.21,0.41,10.46,9.75,7.34,07.03,1.83,1.83,1.11,1.11,0.65,0.46,0.07,02.05,04.08,0.00
Crp,5.27,0.32,2.61,4.96,1.56,1.13,3.37,0.44,3.93,0.37,0.21,0.37,8.46,7.92,6.10,5.60,1.26,1.26,0.70,0.70,0.38,0.32,0.23,1.72,3.48,0.00
CsgD,7.48,0.55,5.31,7.47,1.90,1.49,5.54,0.41,6.22,0.48,0.25,0.48,13.03,12.19,9.45,8.46,1.83,1.83,1.00,1.00,0.52,0.48,0.21,2.45,5.32,0.00
CspA,7.13,0.55,4.25,07.08,2.28,1.54,4.77,0.75,5.48,0.50,0.26,0.50,11.90,11.06,8.48,7.66,02.01,02.01,1.18,1.18,0.85,0.33,0.29,2.37,4.33,0.00
CysB,6.68,0.47,4.73,6.62,1.87,1.18,4.72,0.69,5.24,0.38,0.17,0.38,11.28,10.55,8.32,7.60,1.57,1.57,0.84,0.84,0.59,0.25,0.19,1.99,4.88,0.00
CytR,6.90,0.55,3.55,6.75,2.14,1.37,4.58,0.77,5.18,0.44,0.21,0.44,11.27,10.43,08.08,07.05,02.03,02.03,1.20,1.20,1.10,0.10,0.27,2.13,3.71,0.00
DcuR,7.49,0.57,5.19,7.48,2.30,1.55,5.16,0.75,5.87,0.50,0.26,0.50,12.66,11.80,9.41,8.29,1.77,1.77,0.92,0.92,0.86,0.07,0.47,2.34,5.16,0.00
EvgA,9.13,0.59,4.72,8.17,2.13,1.55,06.01,0.58,6.69,0.49,0.23,0.49,14.11,13.15,10.23,09.03,2.25,2.25,1.30,1.30,0.94,0.37,0.32,2.68,5.29,0.00
FadR,7.44,0.54,4.65,7.20,02.08,1.59,05.06,0.49,5.84,0.51,0.28,0.51,12.38,11.55,9.19,7.95,1.80,1.80,0.98,0.98,0.84,0.14,0.34,2.20,4.86,0.00
