,Experiment Description,Data Definition,Well Substrate,Data Value,Data Submitter
65,b3892 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,2.03,Blattner Laboratory
66,b3893 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.8,Blattner Laboratory
67,b3894 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.11,Blattner Laboratory
68,b3902 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.94,Blattner Laboratory
69,b3903 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.85,Blattner Laboratory
70,b3904 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.66,Blattner Laboratory
71,b3908 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.03,Blattner Laboratory
72,b3909 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.66,Blattner Laboratory
73,b3916 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.69,Blattner Laboratory
74,b3917 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.15,Blattner Laboratory
75,b3919 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.04,Blattner Laboratory
76,b3924 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,2.16,Blattner Laboratory
77,b3925 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.1,Blattner Laboratory
78,b3926 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.11,Blattner Laboratory
79,b3927 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.7,Blattner Laboratory
80,b3930 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.56,Blattner Laboratory
81,b3942 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.11,Blattner Laboratory
82,b3945 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.88,Blattner Laboratory
83,b3952 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.75,Blattner Laboratory
84,b3957 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.12,Blattner Laboratory
85,b3958 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.14,Blattner Laboratory
86,b3959 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.11,Blattner Laboratory
87,b3991 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.93,Blattner Laboratory
88,b3992 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.84,Blattner Laboratory
89,b3993 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.96,Blattner Laboratory
90,b3994 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.89,Blattner Laboratory
91,b4005 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.46,Blattner Laboratory
92,b4006 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.12,Blattner Laboratory
93,b4013 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.31,Blattner Laboratory
94,b4025 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.44,Blattner Laboratory
95,b4033 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.51,Blattner Laboratory
96,b4035 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.42,Blattner Laboratory
97,b4039 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.58,Blattner Laboratory
98,b4041 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.58,Blattner Laboratory
99,b4054 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.85,Blattner Laboratory
100,b4070 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.27,Blattner Laboratory
101,b4071 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.15,Blattner Laboratory
102,b4072 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.57,Blattner Laboratory
103,b4073 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.59,Blattner Laboratory
104,b4090 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.31,Blattner Laboratory
105,b4094 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.31,Blattner Laboratory
106,b4095 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.78,Blattner Laboratory
107,b4096 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.12,Blattner Laboratory
108,b4100 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.19,Blattner Laboratory
109,b4104 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.88,Blattner Laboratory
110,b4105 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.65,Blattner Laboratory
111,b4106 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.64,Blattner Laboratory
112,b4111 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.38,Blattner Laboratory
113,b4117 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.11,Blattner Laboratory
114,b4119 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.13,Blattner Laboratory
115,b4120 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.13,Blattner Laboratory
116,b4129 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.09,Blattner Laboratory
117,b4138 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.59,Blattner Laboratory
118,b4173 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.75,Blattner Laboratory
119,b3091 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
120,b3093 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
121,b3132 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
122,b3137 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
123,b3161 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
124,b3172 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
125,b3213 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
126,b3224 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
127,b3225 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
128,b3236 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.24,Blattner Laboratory
129,b3265 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
130,b3336 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
131,b3359 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
132,b3396 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
133,b3403 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
134,b3409 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
135,b3415 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.21,Blattner Laboratory
136,b3416 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
137,b3426 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.32,Blattner Laboratory
138,b3429 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
139,b3430 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
140,b3431 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
141,b3437 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
142,b3450 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.21,Blattner Laboratory
143,b3451 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
144,b3454 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
145,b3456 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
146,b3500 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
147,b3517 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
148,b3519 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
149,b3542 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
150,b3543 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
151,b3544 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
152,b3551 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
153,b3564 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.14,Blattner Laboratory
154,b3565 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
155,b3566 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
156,b3567 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
157,b3568 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.14,Blattner Laboratory
158,b3571 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
159,b3572 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
160,b3580 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
161,b3588 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.13,Blattner Laboratory
162,b3600 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.14,Blattner Laboratory
163,b3603 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
164,b3605 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
165,b3653 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
166,b3671 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
167,b3721 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
168,b3725 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
169,b3731 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.12,Blattner Laboratory
170,b3750 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
171,b3751 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
172,b3771 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
173,b3787 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
174,b3789 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
175,b3806 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
176,b3821 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.26,Blattner Laboratory
177,b3829 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
178,b3831 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
179,b3849 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
180,b3857 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
181,b3860 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.21,Blattner Laboratory
182,b3867 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
183,b3870 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
184,b3892 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
185,b3893 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
186,b3894 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
187,b3902 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
188,b3903 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
189,b3904 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
190,b3908 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
191,b3909 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
192,b3916 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
193,b3917 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
194,b3919 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.21,Blattner Laboratory
195,b3924 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
196,b3925 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
197,b3926 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.14,Blattner Laboratory
198,b3927 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
199,b3930 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
200,b3942 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
201,b3945 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
202,b3946 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
203,b3952 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
204,b3957 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
205,b3958 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
206,b3959 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
207,b3991 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
208,b3992 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
209,b3993 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
210,b3994 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
211,b4005 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
212,b4006 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
213,b4013 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
214,b4025 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
215,b4033 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
216,b4035 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
217,b4039 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
218,b4041 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
219,b4054 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
220,b4070 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
221,b4071 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.43,Blattner Laboratory
222,b4072 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
223,b4073 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
224,b4090 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
225,b4094 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
226,b4095 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
227,b4096 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
228,b4100 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
229,b4104 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
230,b4105 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.21,Blattner Laboratory
231,b4106 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.22,Blattner Laboratory
232,b4111 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
233,b4117 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
234,b4119 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
235,b4120 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
236,b4129 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
237,b4138 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
238,b4173 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
239,b3091 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.51,Blattner Laboratory
240,b3093 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.44,Blattner Laboratory
241,b3132 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.58,Blattner Laboratory
242,b3137 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.35,Blattner Laboratory
243,b3161 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.54,Blattner Laboratory
244,b3172 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,0.3,Blattner Laboratory
245,b3213 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.49,Blattner Laboratory
246,b3224 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.56,Blattner Laboratory
247,b3225 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.45,Blattner Laboratory
248,b3236 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.2,Blattner Laboratory
249,b3265 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.35,Blattner Laboratory
250,b3336 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.35,Blattner Laboratory
251,b3359 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.35,Blattner Laboratory
252,b3396 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.26,Blattner Laboratory
253,b3403 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.77,Blattner Laboratory
254,b3409 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.4,Blattner Laboratory
255,b3415 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.44,Blattner Laboratory
256,b3416 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.03,Blattner Laboratory
257,b3426 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.02,Blattner Laboratory
258,b3429 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.63,Blattner Laboratory
259,b3430 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.46,Blattner Laboratory
260,b3431 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.84,Blattner Laboratory
261,b3437 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.31,Blattner Laboratory
262,b3450 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.3,Blattner Laboratory
263,b3451 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.1,Blattner Laboratory
264,b3454 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.38,Blattner Laboratory
265,b3456 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.34,Blattner Laboratory
266,b3500 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.36,Blattner Laboratory
267,b3517 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.21,Blattner Laboratory
268,b3519 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.29,Blattner Laboratory
269,b3542 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.34,Blattner Laboratory
270,b3543 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.34,Blattner Laboratory
271,b3544 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.28,Blattner Laboratory
272,b3551 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.13,Blattner Laboratory
273,b3564 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.1,Blattner Laboratory
274,b3565 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.05,Blattner Laboratory
275,b3566 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.21,Blattner Laboratory
276,b3567 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.18,Blattner Laboratory
277,b3568 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.11,Blattner Laboratory
278,b3571 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.13,Blattner Laboratory
279,b3572 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.05,Blattner Laboratory
280,b3580 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.16,Blattner Laboratory
281,b3588 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.35,Blattner Laboratory
282,b3600 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.23,Blattner Laboratory
283,b3603 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,0.94,Blattner Laboratory
284,b3605 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.07,Blattner Laboratory
